CHROM	POS	N_ALLELES	N_CHR	p1	p2	pop
chr1	750	2	96	0.864583	0.135417	all
chr1	802	2	96	0.947917	0.0520833	all
chr1	855	2	96	0.947917	0.0520833	all
chr1	874	2	96	0.854167	0.145833	all
chr1	1626	2	96	0.979167	0.0208333	all
chr1	1641	2	96	0.927083	0.0729167	all
chr1	1647	2	96	0.96875	0.03125	all
chr1	1738	2	96	0.96875	0.03125	all
chr1	1739	2	96	0.9375	0.0625	all
chr1	1740	2	96	0.90625	0.09375	all
chr1	2325	2	96	0.90625	0.09375	all
chr1	2329	2	96	0.96875	0.03125	all
chr1	2343	2	96	0.9375	0.0625	all
chr1	2394	2	96	0.90625	0.09375	all
chr1	2396	2	96	0.958333	0.0416667	all
chr1	2431	2	96	0.90625	0.09375	all
chr1	2488	2	96	0.666667	0.333333	all
chr1	2531	2	96	0.979167	0.0208333	all
chr1	2572	2	96	0.895833	0.104167	all
chr1	2778	2	96	0.958333	0.0416667	all
chr1	2922	2	94	0.93617	0.0638298	all
chr1	2926	2	94	0.957447	0.0425532	all
chr1	2936	2	94	0.968085	0.0319149	all
chr1	2958	2	96	0.958333	0.0416667	all
chr1	2972	2	96	0.96875	0.03125	all
chr1	2999	2	96	0.96875	0.03125	all
chr1	3080	2	96	0.958333	0.0416667	all
chr1	3423	2	96	0.947917	0.0520833	all
chr1	3605	2	96	0.979167	0.0208333	all
chr1	3609	2	96	0.90625	0.09375	all
chr1	3703	2	96	0.947917	0.0520833	all
chr1	4089	2	96	0.958333	0.0416667	all
chr1	4159	2	96	0.979167	0.0208333	all
chr1	4268	2	96	0.927083	0.0729167	all
chr1	4325	2	96	0.96875	0.03125	all
chr1	4341	2	96	0.979167	0.0208333	all
chr1	4417	2	96	0.9375	0.0625	all
chr1	4520	2	96	0.947917	0.0520833	all
chr1	4798	2	96	0.96875	0.03125	all
chr1	4807	2	96	0.927083	0.0729167	all
chr1	4915	2	96	0.947917	0.0520833	all
chr1	4927	2	96	0.90625	0.09375	all
chr1	4986	2	96	0.96875	0.03125	all
chr1	4995	2	96	0.875	0.125	all
chr1	5101	2	96	0.864583	0.135417	all
chr1	5193	2	96	0.96875	0.03125	all
chr1	5230	2	96	0.958333	0.0416667	all
chr1	5238	2	96	0.958333	0.0416667	all
chr1	5369	2	96	0.895833	0.104167	all
chr1	5370	2	96	0.979167	0.0208333	all
chr1	5372	2	96	0.979167	0.0208333	all
chr1	5374	2	96	0.979167	0.0208333	all
chr1	5392	2	96	0.885417	0.114583	all
chr1	5432	2	96	0.947917	0.0520833	all
chr1	5476	2	96	0.96875	0.03125	all
chr1	5500	2	96	0.927083	0.0729167	all
chr1	5634	2	96	0.947917	0.0520833	all
chr1	5637	2	96	0.989583	0.0104167	all
chr1	5678	2	96	0.916667	0.0833333	all
